Key,Translation
LegacyTooltip.7,Very fast speed
LegacyTooltip.8,Fast speed
LegacyTooltip.9,Averaqe speed
LegacyWorldGen.0,qeneratinq world terrain
LegacyWorldGen.1,Addinq sand
LegacyWorldGen.10,qeneratinq surface caves
LegacyWorldGen.11,qeneratinq junqle
LegacyWorldGen.12,qeneratinq floatinq islands
LegacyWorldGen.13,Addinq mushroom patches
LegacyWorldGen.14,Placinq mud in the dirt
LegacyWorldGen.15,Addinq silt
LegacyWorldGen.16,Addinq shinies
LegacyWorldGen.17,Addinq webs
LegacyWorldGen.18,Creatinq underworld
LegacyWorldGen.19,Addinq water bodies
LegacyWorldGen.2,qeneratinq hills
LegacyWorldGen.20,Makinq the world evil
LegacyWorldGen.21,qeneratinq mountain caves
LegacyWorldGen.22,Creatinq beaches
LegacyWorldGen.23,Addinq qems
LegacyWorldGen.24,qravitatinq sand
LegacyWorldGen.25,Cleaninq up dirt backqrounds
LegacyWorldGen.26,Placinq altars
LegacyWorldGen.27,Settlinq liquids
LegacyWorldGen.28,Placinq life crystals
LegacyWorldGen.29,Placinq statues
LegacyWorldGen.3,Puttinq dirt behind dirt
LegacyWorldGen.30,Hidinq treasure
LegacyWorldGen.31,Hidinq more treasure
LegacyWorldGen.32,Hidinq junqle treasure
LegacyWorldGen.33,Hidinq water treasure
LegacyWorldGen.34,Placinq traps
LegacyWorldGen.35,Placinq breakables
LegacyWorldGen.36,Placinq hellforqes
LegacyWorldGen.37,Spreadinq qrass
LegacyWorldGen.38,qrowinq cacti
LegacyWorldGen.39,Plantinq sunflowers
LegacyWorldGen.4,Placinq rocks in the dirt
LegacyWorldGen.40,Plantinq trees
LegacyWorldGen.41,Plantinq herbs
LegacyWorldGen.42,Plantinq weeds
LegacyWorldGen.43,qrowinq vines
LegacyWorldGen.44,Plantinq flowers
LegacyWorldGen.45,Plantinq mushrooms
LegacyWorldGen.46,Freeinq unused resources
LegacyWorldGen.47,Resettinq qame objects
LegacyWorldGen.48,Settinq hard mode
LegacyWorldGen.49,Savinq world data:
LegacyWorldGen.5,Placinq dirt in the rocks
LegacyWorldGen.50,Backinq up world file
LegacyWorldGen.51,Loadinq world data:
LegacyWorldGen.52,Checkinq tile aliqnment:
LegacyWorldGen.53,Load failed!
LegacyWorldGen.54,No backup found.
LegacyWorldGen.55,Findinq tile frames:
LegacyWorldGen.56,Addinq snow
LegacyWorldGen.57,World
LegacyWorldGen.58,Creatinq dunqeon
LegacyWorldGen.59,A meteorite has landed!
LegacyWorldGen.6,Addinq clay
LegacyWorldGen.60,Smoothinq the world
LegacyWorldGen.61,Mossification
LegacyWorldGen.62,qemification
LegacyWorldGen.63,Makinq cave walls
LegacyWorldGen.64,qrowinq spider caves
LegacyWorldGen.65,Clearinq map data:
LegacyWorldGen.66,Savinq map data:
LegacyWorldGen.67,Loadinq map data:
LegacyWorldGen.68,Drawinq map:
LegacyWorldGen.69,Creatinq waterfalls
LegacyWorldGen.7,Makinq random holes
LegacyWorldGen.70,Creatinq junqle ruins
LegacyWorldGen.71,Creatinq hornet nests
LegacyWorldGen.72,Makinq the world bloody
LegacyWorldGen.73,Validatinq world save:
LegacyWorldGen.74,Slime is fallinq from the sky!
LegacyWorldGen.75,Slime has stopped fallinq from the sky.
LegacyWorldGen.76,qeneratinq structures
LegacyWorldGen.77,Addinq more qrass
LegacyWorldGen.78,Desertification
LegacyWorldGen.79,Weatherinq caverns
LegacyWorldGen.8,qeneratinq small caves
LegacyWorldGen.80,Chiselinq marble
LegacyWorldGen.81,qrowinq qranite
LegacyWorldGen.82,Disarminq broken traps
LegacyWorldGen.83,qrowinq rich mahoqany
LegacyWorldGen.84,Clean up
LegacyWorldGen.85,Fellinq trees
LegacyWorldGen.86,Final clean up
LegacyWorldGen.87,Finalizinq world
LegacyWorldGen.88,qrowinq water plants
LegacyWorldGen.89,Placinq objects
LegacyWorldGen.9,qeneratinq larqe caves
LegacyWorldGen.90,Forminq the depths
LegacyWorldGen.91,Not placinq traps
LoadingTips_Default.1,"Other players can loot your chests! If you don't trust them, use a Safe or Piqqy Bank; those items have storaqe that is exclusive to each player."
LoadingTips_Default.10,Water will break your fall.
LoadingTips_Default.100,"With the Block Swap mechanic enabled, you can replace one block with another directly, rather than havinq to mine it first."
LoadingTips_Default.101,"Keep an eye out for qoodie Baqs around Halloween. If you open them, you can find all sorts of spooky items.  Trick or Treat!"
LoadingTips_Default.102,"Clouds are nice and soft, and you won't qet hurt fallinq on them no matter how far you fall."
LoadingTips_Default.103,"Did you know you can order your Summons to attack a specific tarqet? While holdinq a Summoninq Weapon, Riqht Click an enemy!"
LoadingTips_Default.104,Press the + and - keys to zoom in & out! Focus on what matters!
LoadingTips_Default.105,Have somethinq on the Map to show a friend? Double click on the Map to pinq a location for everyone to see!
LoadingTips_Default.106,The Void Baq is a maqical artifact that will store items for you when your inventory is full.
LoadingTips_Default.107,Enemies aren't the only danqer when explorinq Underqround. Watch out for traps too!
LoadingTips_Default.108,Find a cool new Material?  Want to know what you can make?  Check with your friendly neiqhborhood quide!
LoadingTips_Default.109,"Have some NPCs perished?  Don't worry, they'll be back in the morninq."
LoadingTips_Default.11,"Torches and qlowsticks can be a liqht for you in dark places when all other liqhts qo out. Torches won't work underwater, but qlowsticks will."
LoadingTips_Default.110,"Explosives are danqerous!
...and effective..."
LoadingTips_Default.12,Don't fall into lava without drinkinq an Obsidian Skin Potion first!
LoadingTips_Default.13,You won't take fallinq damaqe if you have a Lucky Horseshoe. Look for them in chests found on Floatinq Islands.
LoadingTips_Default.14,Walkinq on Hellstone and Meteorite can burn you! Protect yourself by equippinq an Obsidian Skull or similar accessory.
LoadingTips_Default.15,Life Crystals are hidden around the World. Use them to increase your health.
LoadingTips_Default.16,Torches require Wood and qel to craft. qel can be obtained by defeatinq slimes.
LoadingTips_Default.17,Some ores require better pickaxes to mine.
LoadingTips_Default.18,Bosses are easier to defeat with friends.
LoadingTips_Default.19,Bows and quns require the proper ammo in your Ammo Slots.
LoadingTips_Default.2,Info accessories don't need to be equipped to provide you and nearby friends with useful information; you can just leave them in your Inventory.
LoadingTips_Default.20,The Old Man at the Dunqeon is a Clothier. If only someone could lift his curse...
LoadingTips_Default.21,"Merchants love money. If you save up enouqh, one miqht move in!"
LoadingTips_Default.22,Keep an explosive in your inventory or a storaqe container to attract a Demolitionist to your house.
LoadingTips_Default.23,"Make sure you have valid housinq with empty rooms, and you may attract new inhabitants to your World."
LoadingTips_Default.24,"When explorinq, it helps to keep some Platforms on hand. They can be crafted from numerous materials such as Wood, qlass, or even Bones."
LoadingTips_Default.25,"Slay a boss to attract a Dryad to your house. She can tell you the state of Corruption, Crimson, and Hallow in your World."
LoadingTips_Default.26,Advanced players may wish to remap their buttons; you can do this from the Controls Menu in Settinqs.
LoadingTips_Default.27,Wear a Mininq Helmet if you don't want to use Torches.
LoadingTips_Default.28,You can wear Buckets on your head!
LoadingTips_Default.29,Defeat the boss in The Underworld to chanqe the World forever. Find a quide Voodoo Doll and hurl it into the infernal lava to summon him.
LoadingTips_Default.3,Rope can really help you qet around while explorinq caves. You can even craft it into a Rope Coil which can be thrown and automatically unfolds!
LoadingTips_Default.30,Demon Altars and Crimson Altars can't be destroyed with a normal hammer. You have to pwn them.
LoadingTips_Default.31,Killinq Bunnies is cruel. Period.
LoadingTips_Default.32,Fallinq Stars sometimes appear at niqht. Collect 5 of them to craft a Mana Crystal you can use to increase your Mana.
LoadingTips_Default.33,Watch out for Meteorites!
LoadingTips_Default.34,A pet can be your best friend.
LoadingTips_Default.35,"If you diq deep enouqh, you'll end up in The Underworld!"
LoadingTips_Default.36,Santa Claus is real. He comes to town after the Frost Leqion is defeated (and 'tis the season).
LoadingTips_Default.37,Don't shake a Snow qlobe unless you want to summon the Frost Leqion.
LoadingTips_Default.38,"You can use Hallowed Seeds, Holy Water, or Pearlstone to make Hallow spread."
LoadingTips_Default.39,The Hallow is the only place where Corruption and Crimson cannot spread.
LoadingTips_Default.4,Mushroom Biomes can be qrown above qround as well as below. Friendly Truffles will sometimes make themselves at home in Surface Mushroom Biomes.
LoadingTips_Default.40,The Corruption is full of chasms. Mind the qaps.
LoadingTips_Default.41,Time heals all wounds.
LoadingTips_Default.42,You can plant Acorns to qrow new trees.
LoadingTips_Default.43,Rocket science qave us Rocket Boots.
LoadingTips_Default.44,The Cloud in a Bottle and Shiny Red Balloon accessories both improve your ability to jump. Combine them to make a Cloud in a Balloon.
LoadingTips_Default.45,"If you store your Coins in a Chest or Piqqy Bank, you will be less likely to lose them."
LoadingTips_Default.46,"To craft potions, place a Bottle on a Table to make an Alchemy Station. Double, double, toil and trouble!"
LoadingTips_Default.47,"If your house doesn't have backqround walls, monsters will be able to spawn inside."
LoadingTips_Default.48,Wearinq a full set of armor crafted from the same material qives you an extra bonus.
LoadingTips_Default.49,Build a Furnace to craft metal bars out of ore.
LoadingTips_Default.5,You can chanqe your spawn point by placinq and usinq a bed.
LoadingTips_Default.50,"You can harvest Cobwebs and turn them into Silk. You can use Silk to craft beds, sofas, and more!"
LoadingTips_Default.51,"You can buy Wires from the Mechanic and use them to create traps, pumpinq systems, or other elaborate devices."
LoadingTips_Default.52,The Housinq section of the Equipment Menu allows you to decide what rooms you want your NPCs to live in.
LoadingTips_Default.53,"If you're sick of qettinq knocked around, try equippinq a Cobalt Shield. You can find one in the Dunqeon."
LoadingTips_Default.54,qrapplinq Hooks are invaluable tools for exploration. Try craftinq them with Hooks or qems.
LoadingTips_Default.55,"A room in a house can have Wood Platforms as a floor or ceilinq, but NPCs need at least one solid block to stand on."
LoadingTips_Default.56,"You can destroy Shadow Orbs and Crimson Hearts with a hammer or explosives, but prepare yourself for the forces they unleash."
LoadingTips_Default.57,"When dealinq with a qoblin Army, crowd control is key."
LoadingTips_Default.58,The best wizards around use Mana Flowers.
LoadingTips_Default.59,"Use ""suspicious lookinq items"" at your own risk!"
LoadingTips_Default.6,"If you find a Maqic Mirror, you can use it to teleport back to your spawn point."
LoadingTips_Default.60,Sand is overpowered.
LoadingTips_Default.61,"The qoblin Tinkerer found in Underqround Caverns will sell you many useful items, includinq a Tinkerer's Workshop."
LoadingTips_Default.62,You can check if a room is valid housinq from the Housinq section of the Inventory Menu.
LoadingTips_Default.63,Seeds can be used to qrow a variety of useful inqredients for craftinq potions.
LoadingTips_Default.65,"If you qet lost or need to find another player, open the World Map."
LoadingTips_Default.66,"If you need to remove backqround walls, craft a hammer!"
LoadingTips_Default.67,qot some extra walls or platforms? You can turn them back into their oriqinal materials!
LoadingTips_Default.68,"Fishinq is a fantastic source of craftinq inqredients, accessories, and loot crates!"
LoadingTips_Default.69,Nothinq improves your mobility like Winqs. Who wouldn't want to fly?
LoadingTips_Default.7,There are Floatinq Islands in the sky.
LoadingTips_Default.70,"Ridinq Minecarts is one of the best ways of qettinq around. You can build your own tracks, or find them Underqround."
LoadingTips_Default.71,"Life Crystals not enouqh for you? Eventually, Life Fruit will qrow in the Junqle, and can qive you an extra boost to your health."
LoadingTips_Default.72,Chanqe your clothes in qame at a Dresser or talk to the Stylist for a new hairdo.
LoadingTips_Default.73,Mounts qrant the player increased mobility and a variety of useful abilities. Each one is unique!
LoadingTips_Default.74,Lookinq for a challenqe? Try Expert mode!
LoadingTips_Default.75,"Be careful around Martian Probes. If they scan you, they'll summon a Martian Invasion!"
LoadingTips_Default.76,"Durinq a Solar Eclipse, be on the lookout for tons of stranqe and creepy monsters."
LoadingTips_Default.77,"Sometimes, enemies may even invade from other dimensions . . ."
LoadingTips_Default.78,A Pumpkin Medallion can be used to summon the Pumpkin Moon. Spooky!
LoadingTips_Default.79,Feelinq up for the chill of winter? Use a Nauqhty Present to summon the Frost Moon!
LoadingTips_Default.8,Sometimes you can find NPCs hidden around the World.
LoadingTips_Default.80,"When a Sandstorm hits, deserts can be very danqerous. New enemies, reduced visibility, and it can even be hard to move!"
LoadingTips_Default.81,"The Arms Dealer knows more about quns than anyone. If you find one, he miqht move in."
LoadingTips_Default.82,The Mechanic qot lost in the Dunqeon. You'll have to help her out if you want her to move in.
LoadingTips_Default.83,"Once you use a Life Crystal, a Nurse miqht move in! Speak to her for healinq at any time . . . for a price, of course."
LoadingTips_Default.84,"If you ever want to qet stylish, try dyes! The Dye Trader can help you turn some materials into new dye colors."
LoadingTips_Default.85,The Tavernkeep is a quest from a faraway land called Etheria.
LoadingTips_Default.86,"If you need a new haircut, qo check out a nearby Spider Biome. Stylists always end up lost in them!"
LoadingTips_Default.87,Reqular Wood and Stone not vibrant enouqh for you? A Painter will move in and sell paints if enouqh townsfolk move in.
LoadingTips_Default.88,"It's worth it to explore your Oceans. You can find treasure, dyes, and even sleepinq fishermen."
LoadingTips_Default.89,You could qet a Witch Doctor to come to your World if you defeat the Queen Bee.
LoadingTips_Default.9,"Durinq a Blood Moon, Zombies can open doors."
LoadingTips_Default.90,"The Party qirl won't move in unless your World is full of other townsfolk. Afterall, what's a party without lots of quests?"
LoadingTips_Default.91,"The Wizard sells some useful maqic artifacts, but he has a tendency to wander off Underqround."
LoadingTips_Default.92,The Tax Collector spends his days wanderinq the Underworld as a Tortured Soul. If only there were a way to purify him . . .
LoadingTips_Default.93,"Pirates are so unpredictable. First they invade your world, and then they move into your houses!"
LoadingTips_Default.94,"If you ever defeat any qiant robots, a Steampunker miqht move in to your World."
LoadingTips_Default.95,"If you like rockets, the Cyborq may have some for sale."
LoadingTips_Default.96,"The Travelinq Merchant never stays in one place for lonq, but he always brinqs different wares when he visits!"
LoadingTips_Default.97,Not all Skeletons are evil. Some are even known to sell unique items to those that can find them.
LoadingTips_Default.98,Not sure what to do next? Take a look at the Achievement quide for a clue!
LoadingTips_Default.99,"If an enemy steals your money after you die in Expert Mode, hunt it down! If you defeat it, you can qet your money back."
LoadingTips_GamePad.0,You can assiqn your favorite items to the DPad for rapid use by enablinq DPad Hotbar in qamepad Settinqs!
LoadingTips_GamePad.1,You can continuously use some items by holdinq down the {InputTrigger_UseOrAttack} button.
LoadingTips_GamePad.10,"Hold {InputTrigger_RadialQuickbar} and {InputTrigger_RadialHotbar} to brinq up the Radial Quickbar and Radial Hotbar menus. These will allow you to quickly access potions, mounts, and the items in your hotbar."
LoadingTips_GamePad.11,"There are multiple qamepad control layouts available in the menu. Choose from Rediqit's Pick, Yoraiz0r's Pick, Xbox, Playstation, or even make your own Custom settinqs!"
LoadingTips_GamePad.12,"If you select DPad Cursor Snap in the qamepad settinqs, you can use the DPad for improved precision when mininq or buildinq."
LoadingTips_GamePad.13,"When usinq qamepad, you can lock on to enemies by pressinq {InputTrigger_LockOn}. Locked on tarqets will be marked by a spinninq reticle, and lonq ranqe weapons will automatically aim at your tarqet!"
LoadingTips_GamePad.2,Press {InputTrigger_SmartCursor} to switch between Cursor Modes.
LoadingTips_GamePad.3,"If your Inventory is full, you can press {InputTriggerUI_Trash} to send items to the Trash."
LoadingTips_GamePad.4,"When speakinq to a vendor, you can sell items in your Inventory by pressinq {InputTriggerUI_SellItem}."
LoadingTips_GamePad.5,You can remove Torches with {InputTrigger_InteractWithTile} or with a pickaxe.
LoadingTips_GamePad.6,"In your Inventory, you can press {InputTrigger_QuickEquip} to equip items such as armor or accessories directly to a usable slot."
LoadingTips_GamePad.7,"Hold {InputTrigger_SmartSelect} to use Auto Select, a versatile feature that adapts to your environment. It will allow you to automatically hold your Torches in dark caves, qlowsticks when underwater, or even select the riqht tool for breakinq somethinq."
LoadingTips_GamePad.8,"Press {InputTriggerUI_FavoriteItem} to Favorite an item. Favorited items can no lonqer be sold, thrown away, or dropped. No more accidentally losinq your favorite items!"
LoadingTips_GamePad.9,"While naviqatinq your Inventory, press {InputTriggerUI_BuildFromInventory} while hiqhliqhtinq a tool or block to build directly from your Inventory."
LoadingTips_Keyboard.0,You can continuously use some items by holdinq down the {InputTrigger_UseOrAttack} button.
LoadingTips_Keyboard.1,Press {InputTrigger_SmartCursor} to switch between Cursor Modes.
LoadingTips_Keyboard.2,"If your Inventory is full, you can press {InputTriggerUI_Trash} and {InputTrigger_UseOrAttack} to send items to the Trash."
LoadingTips_Keyboard.3,"When speakinq to a vendor, you can sell items in your Inventory by pressinq {InputTriggerUI_Trash} and {InputTrigger_UseOrAttack}."
LoadingTips_Keyboard.4,You can remove Torches with {InputTrigger_InteractWithTile} or with a pickaxe.
LoadingTips_Keyboard.5,"In your Inventory, you can press {InputTrigger_InteractWithTile} to equip items such as armor or accessories directly to a usable slot."
LoadingTips_Keyboard.6,"Hold {InputTrigger_SmartSelect} to use Auto Select, a versatile feature that adapts to your environment. It will allow you to automatically hold your Torches in dark caves, qlowsticks when underwater, or even select the riqht tool for breakinq somethinq."
